choices	trials	confidence	RfA
9	8	0.89	4
9	8	0.88	4
9	8	0.87	4
9	8	0.86	4
9	8	0.85	4
9	8	0.84	4
9	8	0.83	4
9	8	0.82	4
9	8	0.81	4
9	8	0.8	4
9	9	1	-1
9	9	0.99	6
9	9	0.98	5
9	9	0.97	5
9	9	0.96	5
9	9	0.95	5
9	9	0.94	5
9	9	0.93	5
9	9	0.92	4
9	9	0.91	5
9	9	0.9	5
9	9	0.89	5
9	9	0.88	5
9	9	0.87	4
9	9	0.86	4
9	9	0.85	4
9	9	0.84	4
9	9	0.83	4
9	9	0.82	4
9	9	0.81	4
9	9	0.8	5
9	10	1	-1
9	10	0.99	5
9	10	0.98	6
9	10	0.97	5
9	10	0.96	5
9	10	0.95	5
9	10	0.94	5
9	10	0.93	5
9	10	0.92	5
9	10	0.91	5
9	10	0.9	5
9	10	0.89	5
9	10	0.88	5
9	10	0.87	5
9	10	0.86	5
9	10	0.85	5
9	10	0.84	5
9	10	0.83	5
9	10	0.82	4
9	10	0.81	4
9	10	0.8	4
9	11	1	8
9	11	0.99	6
9	11	0.98	6
9	11	0.97	5
9	11	0.96	6
9	11	0.95	5
9	11	0.94	5
9	11	0.93	5
9	11	0.92	5
9	11	0.91	5
9	11	0.9	5
9	11	0.89	5
9	11	0.88	5
9	11	0.87	5
9	11	0.86	5
9	11	0.85	5
9	11	0.84	5
9	11	0.83	5
9	11	0.82	5
9	11	0.81	5
9	11	0.8	5
9	12	1	6
9	12	0.99	6
9	12	0.98	6
9	12	0.97	6
9	12	0.96	5
9	12	0.95	5
9	12	0.94	5
9	12	0.93	5
9	12	0.92	6
9	12	0.91	5
9	12	0.9	5
9	12	0.89	5
9	12	0.88	5
9	12	0.87	5
9	12	0.86	5
9	12	0.85	5
9	12	0.84	5
9	12	0.83	5
9	12	0.82	5
9	12	0.81	5
9	12	0.8	5
9	13	1	-1
9	13	0.99	7
9	13	0.98	6
9	13	0.97	6
9	13	0.96	6
9	13	0.95	6
9	13	0.94	6
9	13	0.93	5
9	13	0.92	5
9	13	0.91	5
9	13	0.9	5
9	13	0.89	5
9	13	0.88	6
9	13	0.87	5
9	13	0.86	5
9	13	0.85	5
9	13	0.84	5
9	13	0.83	5
9	13	0.82	5
9	13	0.81	5
9	13	0.8	5
9	14	1	-1
9	14	0.99	7
9	14	0.98	6
9	14	0.97	6
9	14	0.96	6
9	14	0.95	6
9	14	0.94	6
9	14	0.93	6
9	14	0.92	6
9	14	0.91	6
9	14	0.9	6
9	14	0.89	6
9	14	0.88	5
9	14	0.87	6
9	14	0.86	5
9	14	0.85	6
9	14	0.84	5
9	14	0.83	5
9	14	0.82	5
9	14	0.81	5
9	14	0.8	5
9	15	1	-1
9	15	0.99	7
9	15	0.98	6
9	15	0.97	7
9	15	0.96	7
9	15	0.95	6
9	15	0.94	6
9	15	0.93	6
9	15	0.92	6
9	15	0.91	6
9	15	0.9	6
9	15	0.89	6
9	15	0.88	6
9	15	0.87	6
9	15	0.86	5
9	15	0.85	6
9	15	0.84	6
9	15	0.83	6
9	15	0.82	6
9	15	0.81	6
9	15	0.8	5
10	2	1	-1
10	2	0.99	-1
10	2	0.98	-1
10	2	0.97	-1
10	2	0.96	-1
10	2	0.95	-1
10	2	0.94	-1
10	2	0.93	-1
10	2	0.92	-1
10	2	0.91	-1
10	2	0.9	-1
10	2	0.89	2
10	2	0.88	2
10	2	0.87	2
10	2	0.86	2
10	2	0.85	2
10	2	0.84	2
10	2	0.83	2
10	2	0.82	2
10	2	0.81	2
10	2	0.8	2
10	3	1	-1
10	3	0.99	3
10	3	0.98	-1
10	3	0.97	3
10	3	0.96	3
10	3	0.95	3
10	3	0.94	3
10	3	0.93	3
10	3	0.92	3
10	3	0.91	3
10	3	0.9	3
10	3	0.89	3
10	3	0.88	3
10	3	0.87	3
10	3	0.86	3
10	3	0.85	3
10	3	0.84	3
10	3	0.83	3
10	3	0.82	3
10	3	0.81	3
10	3	0.8	3
10	4	1	-1
10	4	0.99	4
10	4	0.98	4
10	4	0.97	3
10	4	0.96	4
10	4	0.95	3
10	4	0.94	3
10	4	0.93	3
10	4	0.92	3
10	4	0.91	3
10	4	0.9	3
10	4	0.89	3
10	4	0.88	3
10	4	0.87	3
10	4	0.86	3
10	4	0.85	3
10	4	0.84	3
10	4	0.83	3
10	4	0.82	3
10	4	0.81	3
10	4	0.8	3
10	5	1	-1
10	5	0.99	4
10	5	0.98	5
10	5	0.97	4
10	5	0.96	4
10	5	0.95	4
10	5	0.94	4
10	5	0.93	4
10	5	0.92	3
10	5	0.91	3
10	5	0.9	3
10	5	0.89	3
10	5	0.88	3
10	5	0.87	3
10	5	0.86	3
10	5	0.85	3
10	5	0.84	3
10	5	0.83	3
10	5	0.82	3
10	5	0.81	3
10	5	0.8	3
10	6	1	4
10	6	0.99	5
10	6	0.98	4
10	6	0.97	4
10	6	0.96	4
10	6	0.95	4
10	6	0.94	4
10	6	0.93	4
10	6	0.92	4
10	6	0.91	4
10	6	0.9	4
10	6	0.89	4
10	6	0.88	4
10	6	0.87	4
10	6	0.86	3
10	6	0.85	3
10	6	0.84	4
10	6	0.83	3
10	6	0.82	4
10	6	0.81	4
10	6	0.8	3
10	7	1	-1
10	7	0.99	5
10	7	0.98	5
10	7	0.97	4
10	7	0.96	4
10	7	0.95	4
10	7	0.94	4
10	7	0.93	4
10	7	0.92	4
10	7	0.91	4
10	7	0.9	4
10	7	0.89	4
10	7	0.88	4
10	7	0.87	4
10	7	0.86	4
10	7	0.85	4
10	7	0.84	4
10	7	0.83	4
10	7	0.82	4
10	7	0.81	4
10	7	0.8	4
10	8	1	-1
10	8	0.99	5
10	8	0.98	5
10	8	0.97	5
10	8	0.96	4
10	8	0.95	5
10	8	0.94	4
10	8	0.93	4
10	8	0.92	4
10	8	0.91	4
10	8	0.9	4
10	8	0.89	4
10	8	0.88	4
10	8	0.87	4
10	8	0.86	4
10	8	0.85	4
10	8	0.84	4
10	8	0.83	4
10	8	0.82	4
10	8	0.81	4
10	8	0.8	4
10	9	1	-1
10	9	0.99	5
10	9	0.98	5
10	9	0.97	5
10	9	0.96	5
10	9	0.95	5
10	9	0.94	4
10	9	0.93	5
10	9	0.92	4
10	9	0.91	4
10	9	0.9	4
10	9	0.89	4
10	9	0.88	4
10	9	0.87	4
10	9	0.86	4
10	9	0.85	4
10	9	0.84	4
10	9	0.83	4
10	9	0.82	4
10	9	0.81	4
10	9	0.8	4
10	10	1	6
10	10	0.99	6
10	10	0.98	6
10	10	0.97	5
10	10	0.96	5
10	10	0.95	5
10	10	0.94	5
10	10	0.93	5
10	10	0.92	5
10	10	0.91	5
10	10	0.9	5
10	10	0.89	4
10	10	0.88	5
10	10	0.87	4
10	10	0.86	5
10	10	0.85	5
10	10	0.84	4
10	10	0.83	4
10	10	0.82	4
10	10	0.81	4
10	10	0.8	4
10	11	1	6
10	11	0.99	6
10	11	0.98	6
10	11	0.97	5
10	11	0.96	5
10	11	0.95	5
10	11	0.94	5
10	11	0.93	5
10	11	0.92	5
10	11	0.91	5
10	11	0.9	5
10	11	0.89	5
10	11	0.88	5
10	11	0.87	5
10	11	0.86	5
10	11	0.85	5
10	11	0.84	4
10	11	0.83	5
10	11	0.82	5
10	11	0.81	5
10	11	0.8	4
10	12	1	6
10	12	0.99	6
10	12	0.98	6
10	12	0.97	6
10	12	0.96	5
10	12	0.95	5
10	12	0.94	6
10	12	0.93	6
10	12	0.92	5
10	12	0.91	5
